LoanID,Region,IFRS9_Stage,CurrentBalance,PD_Estimate,LGD_Estimate,EAD,ECL_Provision
ZAAUTO2024-1-00494,North,3,1453102.25,0.7108,0.5288,1507790.21,566734.67
ZAAUTO2024-1-00427,West,3,1460200.0,0.8241,0.4401,1507806.51,546860.93
ZAAUTO2024-1-00371,South,3,1119940.27,0.9686,0.4246,1153623.9,474448.09
ZAAUTO2024-1-00400,East,3,1081660.94,0.8727,0.462,1130434.16,455776.81
ZAAUTO2024-1-00434,South,3,1270986.33,0.8018,0.4073,1287060.25,420319.31
ZAAUTO2024-1-00294,North,3,649179.73,0.9208,0.6396,677650.94,399098.24
ZAAUTO2024-1-00217,East,3,825671.85,0.8776,0.5259,829862.52,383006.32
ZAAUTO2024-1-00109,West,3,849928.0,0.6975,0.5373,862276.58,323152.59
ZAAUTO2024-1-00016,North,3,751710.94,0.6806,0.5322,779822.13,282463.52
ZAAUTO2024-1-00094,South,3,624219.17,1.0,0.4274,652646.25,278941.01
