VintageID,MonthsOnBook,OriginalLoanCount,OriginalPoolBalance,CumulativeDefaults_Count,CumulativeNetLoss,CumulativeNetLossRate,PoolFactor,CurrentDelinq30Plus,RemainingPoolBalance
2021-Q2,42,31,33513900.0,0,559813.6,0.016704,0.0704,0.032496,2359389.59
2021-Q1,45,31,29307800.0,0,458920.68,0.015659,0.0,0.035826,0.0
2021-Q3,39,43,45567800.0,0,648903.76,0.01424,0.1099,0.031663,5008495.13
2021-Q4,36,21,23601300.0,0,311209.0,0.013186,0.2071,0.031016,4888795.1
2022-Q1,33,36,37183800.0,0,479454.7,0.012894,0.2597,0.028708,9656890.74
2022-Q2,30,29,28236600.0,0,328151.04,0.011621,0.3375,0.033593,9528472.09
2022-Q3,27,31,32924900.0,0,322840.69,0.009805,0.4177,0.025332,13753889.51
2022-Q4,24,44,51169100.0,0,413131.47,0.008074,0.4846,0.02898,24795613.9
2023-Q1,21,27,30338200.0,0,188064.23,0.006199,0.5481,0.029976,16628208.69
2023-Q2,18,27,28007800.0,0,118392.55,0.004227,0.6336,0.027393,17744520.62
2023-Q3,15,41,40341000.0,0,140014.0,0.003471,0.7072,0.022989,28528025.17
2023-Q4,12,37,43820400.0,0,92256.29,0.002105,0.7682,0.026499,33664557.6
2024-Q1,9,31,41843000.0,0,62416.03,0.001492,0.8317,0.019781,34799237.11
2024-Q2,6,35,39108300.0,0,29033.03,0.000742,0.8898,0.026229,34797696.71
2024-Q3,3,36,41109800.0,0,15419.27,0.000375,0.9449,0.021137,38844063.79
